$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
3.7,3.7,2.8,2.8,0.426
3.7,3.7,2.9,2.9,0.438
3.7,3.7,3.0,3.0,0.408
3.7,3.7,3.1,3.1,0.39
3.7,3.7,3.2,3.2,0.388
3.7,3.7,3.3,3.3,0.372
3.7,3.7,3.4,3.4,0.382
3.7,3.7,3.5,3.5,0.394
3.7,3.7,3.6,3.6,0.39
3.7,3.7,3.7,3.7,0.4
3.7,3.7,3.8,3.8,0.378
3.7,3.7,3.9,3.9,0.344
3.7,3.7,4.0,4.0,0.4
3.7,3.7,4.1,4.1,0.368
3.7,3.7,4.2,4.2,0.36
3.7,3.7,4.3,4.3,0.352
3.7,3.7,4.4,4.4,0.352
3.7,3.7,4.5,4.5,0.344
3.7,3.7,4.6,4.6,0.348
3.7,3.7,4.7,4.7,0.338
3.7,3.7,4.8,4.8,0.338
3.7,3.7,4.9,4.9,0.37
3.7,3.7,5.0,5.0,0.29
3.7,3.7,5.1,5.1,0.298
3.7,3.7,5.2,5.2,0.346
3.7,3.7,5.3,5.3,0.304
3.7,3.7,5.4,5.4,0.29
3.7,3.7,5.5,5.5,0.294
3.7,3.7,5.6,5.6,0.284
3.7,3.7,5.7,5.7,0.282
3.7,3.7,5.8,5.8,0.292
3.7,3.7,5.9,5.9,0.314
3.7,3.7,6.0,6.0,0.336
3.7,3.7,6.1,6.1,0.274
3.7,3.7,6.2,6.2,0.25
3.7,3.7,6.3,6.3,0.282
3.7,3.7,6.4,6.4,0.262
3.7,3.7,6.5,6.5,0.284
3.7,3.7,6.6,6.6,0.296
3.7,3.7,6.7,6.7,0.262
3.7,3.7,6.8,6.8,0.246
3.7,3.7,6.9,6.9,0.274
3.7,3.7,7.0,7.0,0.28
3.7,3.7,7.1,7.1,0.244
3.7,3.7,7.2,7.2,0.246
3.7,3.7,7.3,7.3,0.242
3.7,3.7,7.4,7.4,0.24
3.7,3.7,7.5,7.5,0.224
3.7,3.7,7.6,7.6,0.23
3.7,3.7,7.7,7.7,0.232
3.7,3.7,7.8,7.8,0.21
3.7,3.7,7.9,7.9,0.246
3.7,3.7,8.0,8.0,0.222
3.7,3.7,8.1,8.1,0.272
3.7,3.7,8.2,8.2,0.208
3.7,3.7,8.3,8.3,0.198
3.7,3.7,8.4,8.4,0.222
3.7,3.7,8.5,8.5,0.198
3.7,3.7,8.6,8.6,0.186
3.7,3.7,8.7,8.7,0.206
3.7,3.7,8.8,8.8,0.188
3.7,3.7,8.9,8.9,0.196
3.7,3.7,9.0,9.0,0.2
3.7,3.7,9.1,9.1,0.172
3.7,3.7,9.2,9.2,0.206
3.7,3.7,9.3,9.3,0.194
3.7,3.7,9.4,9.4,0.234
3.7,3.7,9.5,9.5,0.2
3.7,3.7,9.6,9.6,0.18
3.7,3.7,9.7,9.7,0.194
3.7,3.7,9.8,9.8,0.22
3.7,3.7,9.9,9.9,0.192
3.7,3.7,10.0,10.0,0.206
3.7,3.7,10.1,10.1,0.186
3.7,3.7,10.2,10.2,0.224
3.7,3.7,10.3,10.3,0.198
3.7,3.7,10.4,10.4,0.182
3.7,3.7,10.5,10.5,0.186
3.7,3.7,10.6,10.6,0.204
3.7,3.7,10.7,10.7,0.192
3.7,3.7,10.8,10.8,0.198
3.7,3.7,10.9,10.9,0.208
3.7,3.7,11.0,11.0,0.186
3.7,3.7,11.1,11.1,0.196
3.7,3.7,11.2,11.2,0.182
3.7,3.7,11.3,11.3,0.184
3.7,3.7,11.4,11.4,0.176
3.7,3.7,11.5,11.5,0.158
3.7,3.7,11.6,11.6,0.214
3.7,3.7,11.7,11.7,0.206
3.7,3.7,11.8,11.8,0.204
3.7,3.7,11.9,11.9,0.15
3.7,3.7,12.0,12.0,0.168
3.7,3.7,12.1,12.1,0.19
3.7,3.7,12.2,12.2,0.158
3.7,3.7,12.3,12.3,0.134
3.7,3.7,12.4,12.4,0.192
3.7,3.7,12.5,12.5,0.156
3.7,3.7,12.6,12.6,0.158
3.7,3.7,12.7,12.7,0.162
3.7,3.7,12.8,12.8,0.142
3.7,3.7,12.9,12.9,0.166
3.7,3.7,13.0,13.0,0.192
3.7,3.7,13.1,13.1,0.172
3.7,3.7,13.2,13.2,0.172
3.7,3.7,13.3,13.3,0.126
3.7,3.7,13.4,13.4,0.162
3.7,3.7,13.5,13.5,0.182
3.7,3.7,13.6,13.6,0.144
3.7,3.7,13.7,13.7,0.158
3.7,3.7,13.8,13.8,0.134
3.7,3.7,13.9,13.9,0.17
3.7,3.7,14.0,14.0,0.178
3.7,3.7,14.1,14.1,0.166
3.7,3.7,14.2,14.2,0.178
3.7,3.7,14.3,14.3,0.172
3.7,3.7,14.4,14.4,0.15
3.7,3.7,14.5,14.5,0.166
3.7,3.7,14.6,14.6,0.162
3.7,3.7,14.7,14.7,0.14
3.7,3.7,14.8,14.8,0.18
3.7,3.7,14.9,14.9,0.138
3.7,3.7,15.0,15.0,0.15
3.7,3.7,15.1,15.1,0.164
3.8,3.8,0.1,0.1,0.12
3.8,3.8,0.2,0.2,0.166
3.8,3.8,0.3,0.3,0.148
3.8,3.8,0.4,0.4,0.136
3.8,3.8,0.5,0.5,0.18
3.8,3.8,0.6,0.6,0.186
3.8,3.8,0.7,0.7,0.22
3.8,3.8,0.8,0.8,0.232
3.8,3.8,0.9,0.9,0.278
3.8,3.8,1.0,1.0,0.246
3.8,3.8,1.1,1.1,0.27
3.8,3.8,1.2,1.2,0.316
3.8,3.8,1.3,1.3,0.346
3.8,3.8,1.4,1.4,0.344
3.8,3.8,1.5,1.5,0.35
3.8,3.8,1.6,1.6,0.364
3.8,3.8,1.7,1.7,0.338
3.8,3.8,1.8,1.8,0.4
3.8,3.8,1.9,1.9,0.414
3.8,3.8,2.0,2.0,0.378
3.8,3.8,2.1,2.1,0.376
3.8,3.8,2.2,2.2,0.418
3.8,3.8,2.3,2.3,0.41
3.8,3.8,2.4,2.4,0.42
3.8,3.8,2.5,2.5,0.44
3.8,3.8,2.6,2.6,0.446
3.8,3.8,2.7,2.7,0.386
3.8,3.8,2.8,2.8,0.408
3.8,3.8,2.9,2.9,0.382
3.8,3.8,3.0,3.0,0.408
3.8,3.8,3.1,3.1,0.4
3.8,3.8,3.2,3.2,0.418
3.8,3.8,3.3,3.3,0.376
3.8,3.8,3.4,3.4,0.404
3.8,3.8,3.5,3.5,0.408
3.8,3.8,3.6,3.6,0.396
3.8,3.8,3.7,3.7,0.4
3.8,3.8,3.8,3.8,0.394
3.8,3.8,3.9,3.9,0.392
3.8,3.8,4.0,4.0,0.382
3.8,3.8,4.1,4.1,0.384
3.8,3.8,4.2,4.2,0.352
3.8,3.8,4.3,4.3,0.4
3.8,3.8,4.4,4.4,0.38
3.8,3.8,4.5,4.5,0.356
3.8,3.8,4.6,4.6,0.39
3.8,3.8,4.7,4.7,0.298
3.8,3.8,4.8,4.8,0.322
3.8,3.8,4.9,4.9,0.342
3.8,3.8,5.0,5.0,0.35
3.8,3.8,5.1,5.1,0.358
3.8,3.8,5.2,5.2,0.336
3.8,3.8,5.3,5.3,0.338
3.8,3.8,5.4,5.4,0.348
3.8,3.8,5.5,5.5,0.32
3.8,3.8,5.6,5.6,0.314
3.8,3.8,5.7,5.7,0.356
3.8,3.8,5.8,5.8,0.274
3.8,3.8,5.9,5.9,0.304
3.8,3.8,6.0,6.0,0.296
3.8,3.8,6.1,6.1,0.29
3.8,3.8,6.2,6.2,0.292
3.8,3.8,6.3,6.3,0.28
3.8,3.8,6.4,6.4,0.308
3.8,3.8,6.5,6.5,0.248
3.8,3.8,6.6,6.6,0.294
3.8,3.8,6.7,6.7,0.272
3.8,3.8,6.8,6.8,0.254
3.8,3.8,6.9,6.9,0.27
3.8,3.8,7.0,7.0,0.282
3.8,3.8,7.1,7.1,0.252
3.8,3.8,7.2,7.2,0.264
3.8,3.8,7.3,7.3,0.272
3.8,3.8,7.4,7.4,0.274
3.8,3.8,7.5,7.5,0.256
3.8,3.8,7.6,7.6,0.258
3.8,3.8,7.7,7.7,0.238
3.8,3.8,7.8,7.8,0.244
3.8,3.8,7.9,7.9,0.238
3.8,3.8,8.0,8.0,0.21
3.8,3.8,8.1,8.1,0.224
3.8,3.8,8.2,8.2,0.234
3.8,3.8,8.3,8.3,0.23
3.8,3.8,8.4,8.4,0.216
3.8,3.8,8.5,8.5,0.252
3.8,3.8,8.6,8.6,0.244
3.8,3.8,8.7,8.7,0.214
3.8,3.8,8.8,8.8,0.22
3.8,3.8,8.9,8.9,0.222
3.8,3.8,9.0,9.0,0.202
3.8,3.8,9.1,9.1,0.2
3.8,3.8,9.2,9.2,0.222
3.8,3.8,9.3,9.3,0.24
3.8,3.8,9.4,9.4,0.18
3.8,3.8,9.5,9.5,0.222
3.8,3.8,9.6,9.6,0.198
3.8,3.8,9.7,9.7,0.2
3.8,3.8,9.8,9.8,0.222
3.8,3.8,9.9,9.9,0.216
3.8,3.8,10.0,10.0,0.194
3.8,3.8,10.1,10.1,0.192
3.8,3.8,10.2,10.2,0.202
3.8,3.8,10.3,10.3,0.21
3.8,3.8,10.4,10.4,0.214
3.8,3.8,10.5,10.5,0.214
3.8,3.8,10.6,10.6,0.186
3.8,3.8,10.7,10.7,0.182
3.8,3.8,10.8,10.8,0.194
3.8,3.8,10.9,10.9,0.174
3.8,3.8,11.0,11.0,0.178
3.8,3.8,11.1,11.1,0.138
3.8,3.8,11.2,11.2,0.184
3.8,3.8,11.3,11.3,0.172
3.8,3.8,11.4,11.4,0.164
3.8,3.8,11.5,11.5,0.174
3.8,3.8,11.6,11.6,0.17
3.8,3.8,11.7,11.7,0.202
3.8,3.8,11.8,11.8,0.154
3.8,3.8,11.9,11.9,0.162
3.8,3.8,12.0,12.0,0.188
3.8,3.8,12.1,12.1,0.184
3.8,3.8,12.2,12.2,0.174
3.8,3.8,12.3,12.3,0.182
3.8,3.8,12.4,12.4,0.15
3.8,3.8,12.5,12.5,0.19
3.8,3.8,12.6,12.6,0.17
3.8,3.8,12.7,12.7,0.18
3.8,3.8,12.8,12.8,0.194
3.8,3.8,12.9,12.9,0.182
3.8,3.8,13.0,13.0,0.222
3.8,3.8,13.1,13.1,0.19
3.8,3.8,13.2,13.2,0.17
3.8,3.8,13.3,13.3,0.152
3.8,3.8,13.4,13.4,0.172
3.8,3.8,13.5,13.5,0.176
3.8,3.8,13.6,13.6,0.182
3.8,3.8,13.7,13.7,0.186
3.8,3.8,13.8,13.8,0.174
3.8,3.8,13.9,13.9,0.162
3.8,3.8,14.0,14.0,0.164
3.8,3.8,14.1,14.1,0.152
3.8,3.8,14.2,14.2,0.158
3.8,3.8,14.3,14.3,0.138
3.8,3.8,14.4,14.4,0.166
3.8,3.8,14.5,14.5,0.176
3.8,3.8,14.6,14.6,0.162
3.8,3.8,14.7,14.7,0.152
3.8,3.8,14.8,14.8,0.156
3.8,3.8,14.9,14.9,0.184
3.8,3.8,15.0,15.0,0.182
3.8,3.8,15.1,15.1,0.142
3.9,3.9,0.1,0.1,0.112
3.9,3.9,0.2,0.2,0.13
3.9,3.9,0.3,0.3,0.168
3.9,3.9,0.4,0.4,0.174
3.9,3.9,0.5,0.5,0.184
3.9,3.9,0.6,0.6,0.226
3.9,3.9,0.7,0.7,0.214
3.9,3.9,0.8,0.8,0.234
3.9,3.9,0.9,0.9,0.238
3.9,3.9,1.0,1.0,0.282
3.9,3.9,1.1,1.1,0.308
3.9,3.9,1.2,1.2,0.298
3.9,3.9,1.3,1.3,0.312
3.9,3.9,1.4,1.4,0.316
3.9,3.9,1.5,1.5,0.36
3.9,3.9,1.6,1.6,0.346
3.9,3.9,1.7,1.7,0.372
3.9,3.9,1.8,1.8,0.362
3.9,3.9,1.9,1.9,0.37
3.9,3.9,2.0,2.0,0.384
3.9,3.9,2.1,2.1,0.336
3.9,3.9,2.2,2.2,0.418
3.9,3.9,2.3,2.3,0.39
3.9,3.9,2.4,2.4,0.418
3.9,3.9,2.5,2.5,0.398
3.9,3.9,2.6,2.6,0.432
3.9,3.9,2.7,2.7,0.382
3.9,3.9,2.8,2.8,0.438
3.9,3.9,2.9,2.9,0.446
3.9,3.9,3.0,3.0,0.414
3.9,3.9,3.1,3.1,0.4
3.9,3.9,3.2,3.2,0.408
3.9,3.9,3.3,3.3,0.384
3.9,3.9,3.4,3.4,0.396
3.9,3.9,3.5,3.5,0.372
3.9,3.9,3.6,3.6,0.396
3.9,3.9,3.7,3.7,0.39
3.9,3.9,3.8,3.8,0.412
3.9,3.9,3.9,3.9,0.382
3.9,3.9,4.0,4.0,0.398
3.9,3.9,4.1,4.1,0.36
3.9,3.9,4.2,4.2,0.38
3.9,3.9,4.3,4.3,0.37
3.9,3.9,4.4,4.4,0.358
3.9,3.9,4.5,4.5,0.34
3.9,3.9,4.6,4.6,0.384
3.9,3.9,4.7,4.7,0.326
3.9,3.9,4.8,4.8,0.384
3.9,3.9,4.9,4.9,0.384
3.9,3.9,5.0,5.0,0.366
3.9,3.9,5.1,5.1,0.376
3.9,3.9,5.2,5.2,0.362
3.9,3.9,5.3,5.3,0.322
3.9,3.9,5.4,5.4,0.312
3.9,3.9,5.5,5.5,0.318
3.9,3.9,5.6,5.6,0.33
3.9,3.9,5.7,5.7,0.358
3.9,3.9,5.8,5.8,0.318
3.9,3.9,5.9,5.9,0.358
3.9,3.9,6.0,6.0,0.292
3.9,3.9,6.1,6.1,0.308
3.9,3.9,6.2,6.2,0.292
3.9,3.9,6.3,6.3,0.268
3.9,3.9,6.4,6.4,0.266
3.9,3.9,6.5,6.5,0.308
3.9,3.9,6.6,6.6,0.294
3.9,3.9,6.7,6.7,0.294
3.9,3.9,6.8,6.8,0.288
3.9,3.9,6.9,6.9,0.272
3.9,3.9,7.0,7.0,0.296
3.9,3.9,7.1,7.1,0.304
3.9,3.9,7.2,7.2,0.254
3.9,3.9,7.3,7.3,0.282
3.9,3.9,7.4,7.4,0.276
3.9,3.9,7.5,7.5,0.238
3.9,3.9,7.6,7.6,0.286
3.9,3.9,7.7,7.7,0.264
3.9,3.9,7.8,7.8,0.236
3.9,3.9,7.9,7.9,0.226
3.9,3.9,8.0,8.0,0.248
3.9,3.9,8.1,8.1,0.214
3.9,3.9,8.2,8.2,0.244
3.9,3.9,8.3,8.3,0.246
3.9,3.9,8.4,8.4,0.226
3.9,3.9,8.5,8.5,0.218
3.9,3.9,8.6,8.6,0.24
3.9,3.9,8.7,8.7,0.242
3.9,3.9,8.8,8.8,0.218
3.9,3.9,8.9,8.9,0.24
3.9,3.9,9.0,9.0,0.21
3.9,3.9,9.1,9.1,0.226
3.9,3.9,9.2,9.2,0.22
3.9,3.9,9.3,9.3,0.19
3.9,3.9,9.4,9.4,0.264
3.9,3.9,9.5,9.5,0.228
3.9,3.9,9.6,9.6,0.214
3.9,3.9,9.7,9.7,0.224
3.9,3.9,9.8,9.8,0.236
3.9,3.9,9.9,9.9,0.226
3.9,3.9,10.0,10.0,0.218
3.9,3.9,10.1,10.1,0.198
3.9,3.9,10.2,10.2,0.208
3.9,3.9,10.3,10.3,0.23
3.9,3.9,10.4,10.4,0.21
3.9,3.9,10.5,10.5,0.182
3.9,3.9,10.6,10.6,0.194
3.9,3.9,10.7,10.7,0.19
3.9,3.9,10.8,10.8,0.19
3.9,3.9,10.9,10.9,0.166
3.9,3.9,11.0,11.0,0.206
3.9,3.9,11.1,11.1,0.182
3.9,3.9,11.2,11.2,0.204
3.9,3.9,11.3,11.3,0.164
3.9,3.9,11.4,11.4,0.176
3.9,3.9,11.5,11.5,0.194
3.9,3.9,11.6,11.6,0.206
3.9,3.9,11.7,11.7,0.194
3.9,3.9,11.8,11.8,0.162
3.9,3.9,11.9,11.9,0.174
3.9,3.9,12.0,12.0,0.206
3.9,3.9,12.1,12.1,0.184
3.9,3.9,12.2,12.2,0.188
3.9,3.9,12.3,12.3,0.184
3.9,3.9,12.4,12.4,0.18
3.9,3.9,12.5,12.5,0.17
3.9,3.9,12.6,12.6,0.214
3.9,3.9,12.7,12.7,0.214
3.9,3.9,12.8,12.8,0.172
3.9,3.9,12.9,12.9,0.18
3.9,3.9,13.0,13.0,0.172
3.9,3.9,13.1,13.1,0.15
3.9,3.9,13.2,13.2,0.158
3.9,3.9,13.3,13.3,0.168
3.9,3.9,13.4,13.4,0.166
3.9,3.9,13.5,13.5,0.136
3.9,3.9,13.6,13.6,0.21
3.9,3.9,13.7,13.7,0.172
3.9,3.9,13.8,13.8,0.162
3.9,3.9,13.9,13.9,0.166
3.9,3.9,14.0,14.0,0.172
3.9,3.9,14.1,14.1,0.17
3.9,3.9,14.2,14.2,0.174
3.9,3.9,14.3,14.3,0.148
3.9,3.9,14.4,14.4,0.192
3.9,3.9,14.5,14.5,0.154
3.9,3.9,14.6,14.6,0.164
3.9,3.9,14.7,14.7,0.16
3.9,3.9,14.8,14.8,0.15
3.9,3.9,14.9,14.9,0.194
3.9,3.9,15.0,15.0,0.16
3.9,3.9,15.1,15.1,0.18
4.0,4.0,0.1,0.1,0.104
4.0,4.0,0.2,0.2,0.136
4.0,4.0,0.3,0.3,0.166
4.0,4.0,0.4,0.4,0.208
4.0,4.0,0.5,0.5,0.202
4.0,4.0,0.6,0.6,0.202
4.0,4.0,0.7,0.7,0.202
4.0,4.0,0.8,0.8,0.238
4.0,4.0,0.9,0.9,0.262
4.0,4.0,1.0,1.0,0.3
4.0,4.0,1.1,1.1,0.284
4.0,4.0,1.2,1.2,0.286
4.0,4.0,1.3,1.3,0.3
4.0,4.0,1.4,1.4,0.316
4.0,4.0,1.5,1.5,0.338
4.0,4.0,1.6,1.6,0.326
4.0,4.0,1.7,1.7,0.348
4.0,4.0,1.8,1.8,0.362
4.0,4.0,1.9,1.9,0.338
4.0,4.0,2.0,2.0,0.36
4.0,4.0,2.1,2.1,0.376
4.0,4.0,2.2,2.2,0.386
4.0,4.0,2.3,2.3,0.418
4.0,4.0,2.4,2.4,0.418
4.0,4.0,2.5,2.5,0.406
4.0,4.0,2.6,2.6,0.42
4.0,4.0,2.7,2.7,0.418
4.0,4.0,2.8,2.8,0.418
4.0,4.0,2.9,2.9,0.386
4.0,4.0,3.0,3.0,0.378
4.0,4.0,3.1,3.1,0.454
4.0,4.0,3.2,3.2,0.392
4.0,4.0,3.3,3.3,0.378
4.0,4.0,3.4,3.4,0.404
4.0,4.0,3.5,3.5,0.396
4.0,4.0,3.6,3.6,0.35
4.0,4.0,3.7,3.7,0.396
4.0,4.0,3.8,3.8,0.418
4.0,4.0,3.9,3.9,0.376
4.0,4.0,4.0,4.0,0.41
4.0,4.0,4.1,4.1,0.402
4.0,4.0,4.2,4.2,0.352
4.0,4.0,4.3,4.3,0.388
4.0,4.0,4.4,4.4,0.372
4.0,4.0,4.5,4.5,0.366
4.0,4.0,4.6,4.6,0.342
4.0,4.0,4.7,4.7,0.408
4.0,4.0,4.8,4.8,0.36
4.0,4.0,4.9,4.9,0.358
4.0,4.0,5.0,5.0,0.366
4.0,4.0,5.1,5.1,0.338
4.0,4.0,5.2,5.2,0.336
4.0,4.0,5.3,5.3,0.32
4.0,4.0,5.4,5.4,0.342
4.0,4.0,5.5,5.5,0.304
4.0,4.0,5.6,5.6,0.302
4.0,4.0,5.7,5.7,0.322
4.0,4.0,5.8,5.8,0.308
4.0,4.0,5.9,5.9,0.314
4.0,4.0,6.0,6.0,0.308
4.0,4.0,6.1,6.1,0.328
4.0,4.0,6.2,6.2,0.28
4.0,4.0,6.3,6.3,0.306
4.0,4.0,6.4,6.4,0.292
4.0,4.0,6.5,6.5,0.26
4.0,4.0,6.6,6.6,0.288
4.0,4.0,6.7,6.7,0.28
4.0,4.0,6.8,6.8,0.318
4.0,4.0,6.9,6.9,0.262
4.0,4.0,7.0,7.0,0.3
4.0,4.0,7.1,7.1,0.264
4.0,4.0,7.2,7.2,0.266
4.0,4.0,7.3,7.3,0.264
4.0,4.0,7.4,7.4,0.26
4.0,4.0,7.5,7.5,0.254
4.0,4.0,7.6,7.6,0.27
4.0,4.0,7.7,7.7,0.23
4.0,4.0,7.8,7.8,0.302
4.0,4.0,7.9,7.9,0.262
4.0,4.0,8.0,8.0,0.262
4.0,4.0,8.1,8.1,0.244
4.0,4.0,8.2,8.2,0.224
4.0,4.0,8.3,8.3,0.242
4.0,4.0,8.4,8.4,0.208
4.0,4.0,8.5,8.5,0.234
4.0,4.0,8.6,8.6,0.222
4.0,4.0,8.7,8.7,0.23
4.0,4.0,8.8,8.8,0.222
4.0,4.0,8.9,8.9,0.23
4.0,4.0,9.0,9.0,0.246
4.0,4.0,9.1,9.1,0.246
4.0,4.0,9.2,9.2,0.202
4.0,4.0,9.3,9.3,0.25
4.0,4.0,9.4,9.4,0.188
4.0,4.0,9.5,9.5,0.228
4.0,4.0,9.6,9.6,0.202
4.0,4.0,9.7,9.7,0.192
4.0,4.0,9.8,9.8,0.202
4.0,4.0,9.9,9.9,0.208
4.0,4.0,10.0,10.0,0.162
4.0,4.0,10.1,10.1,0.236
4.0,4.0,10.2,10.2,0.196
4.0,4.0,10.3,10.3,0.208
4.0,4.0,10.4,10.4,0.218
4.0,4.0,10.5,10.5,0.208
4.0,4.0,10.6,10.6,0.206
4.0,4.0,10.7,10.7,0.224
4.0,4.0,10.8,10.8,0.178
4.0,4.0,10.9,10.9,0.236
4.0,4.0,11.0,11.0,0.164
4.0,4.0,11.1,11.1,0.192
4.0,4.0,11.2,11.2,0.182
4.0,4.0,11.3,11.3,0.184
4.0,4.0,11.4,11.4,0.174
4.0,4.0,11.5,11.5,0.19
4.0,4.0,11.6,11.6,0.198
4.0,4.0,11.7,11.7,0.198
4.0,4.0,11.8,11.8,0.208
4.0,4.0,11.9,11.9,0.206
4.0,4.0,12.0,12.0,0.178
4.0,4.0,12.1,12.1,0.176
4.0,4.0,12.2,12.2,0.174
4.0,4.0,12.3,12.3,0.186
4.0,4.0,12.4,12.4,0.182
4.0,4.0,12.5,12.5,0.148
4.0,4.0,12.6,12.6,0.192
4.0,4.0,12.7,12.7,0.204
4.0,4.0,12.8,12.8,0.184
4.0,4.0,12.9,12.9,0.144
4.0,4.0,13.0,13.0,0.15
4.0,4.0,13.1,13.1,0.152
4.0,4.0,13.2,13.2,0.22
4.0,4.0,13.3,13.3,0.19
4.0,4.0,13.4,13.4,0.17
4.0,4.0,13.5,13.5,0.19
4.0,4.0,13.6,13.6,0.19
4.0,4.0,13.7,13.7,0.188
4.0,4.0,13.8,13.8,0.166
4.0,4.0,13.9,13.9,0.164
4.0,4.0,14.0,14.0,0.178
4.0,4.0,14.1,14.1,0.172
4.0,4.0,14.2,14.2,0.178
4.0,4.0,14.3,14.3,0.192
4.0,4.0,14.4,14.4,0.158
4.0,4.0,14.5,14.5,0.164
4.0,4.0,14.6,14.6,0.14
4.0,4.0,14.7,14.7,0.17
4.0,4.0,14.8,14.8,0.198
4.0,4.0,14.9,14.9,0.164
4.0,4.0,15.0,15.0,0.126
4.0,4.0,15.1,15.1,0.17
4.1,4.1,0.1,0.1,0.11
4.1,4.1,0.2,0.2,0.154
4.1,4.1,0.3,0.3,0.15
4.1,4.1,0.4,0.4,0.18
4.1,4.1,0.5,0.5,0.204
4.1,4.1,0.6,0.6,0.2
4.1,4.1,0.7,0.7,0.234
4.1,4.1,0.8,0.8,0.194
4.1,4.1,0.9,0.9,0.224
4.1,4.1,1.0,1.0,0.272
4.1,4.1,1.1,1.1,0.324
4.1,4.1,1.2,1.2,0.304
4.1,4.1,1.3,1.3,0.28
4.1,4.1,1.4,1.4,0.358
4.1,4.1,1.5,1.5,0.36
4.1,4.1,1.6,1.6,0.344
4.1,4.1,1.7,1.7,0.346
4.1,4.1,1.8,1.8,0.376
4.1,4.1,1.9,1.9,0.432
4.1,4.1,2.0,2.0,0.38
4.1,4.1,2.1,2.1,0.426
4.1,4.1,2.2,2.2,0.414
4.1,4.1,2.3,2.3,0.412
4.1,4.1,2.4,2.4,0.438
4.1,4.1,2.5,2.5,0.376
4.1,4.1,2.6,2.6,0.418
4.1,4.1,2.7,2.7,0.39
4.1,4.1,2.8,2.8,0.426
4.1,4.1,2.9,2.9,0.432
4.1,4.1,3.0,3.0,0.406
4.1,4.1,3.1,3.1,0.436
4.1,4.1,3.2,3.2,0.414
4.1,4.1,3.3,3.3,0.45
4.1,4.1,3.4,3.4,0.422
4.1,4.1,3.5,3.5,0.41
4.1,4.1,3.6,3.6,0.436
4.1,4.1,3.7,3.7,0.46
4.1,4.1,3.8,3.8,0.404
4.1,4.1,3.9,3.9,0.402
4.1,4.1,4.0,4.0,0.398
4.1,4.1,4.1,4.1,0.394
4.1,4.1,4.2,4.2,0.412
4.1,4.1,4.3,4.3,0.376
4.1,4.1,4.4,4.4,0.378
4.1,4.1,4.5,4.5,0.39
4.1,4.1,4.6,4.6,0.366
4.1,4.1,4.7,4.7,0.368
4.1,4.1,4.8,4.8,0.37
4.1,4.1,4.9,4.9,0.378
4.1,4.1,5.0,5.0,0.324
4.1,4.1,5.1,5.1,0.352
4.1,4.1,5.2,5.2,0.332
4.1,4.1,5.3,5.3,0.368
4.1,4.1,5.4,5.4,0.35
4.1,4.1,5.5,5.5,0.374
4.1,4.1,5.6,5.6,0.354
4.1,4.1,5.7,5.7,0.33
4.1,4.1,5.8,5.8,0.312
4.1,4.1,5.9,5.9,0.326
4.1,4.1,6.0,6.0,0.324
4.1,4.1,6.1,6.1,0.32
4.1,4.1,6.2,6.2,0.282
4.1,4.1,6.3,6.3,0.282
4.1,4.1,6.4,6.4,0.288
4.1,4.1,6.5,6.5,0.28
4.1,4.1,6.6,6.6,0.268
4.1,4.1,6.7,6.7,0.34
4.1,4.1,6.8,6.8,0.286
4.1,4.1,6.9,6.9,0.284
4.1,4.1,7.0,7.0,0.276
4.1,4.1,7.1,7.1,0.252
4.1,4.1,7.2,7.2,0.272
4.1,4.1,7.3,7.3,0.272
4.1,4.1,7.4,7.4,0.294
4.1,4.1,7.5,7.5,0.284
4.1,4.1,7.6,7.6,0.25
4.1,4.1,7.7,7.7,0.252
4.1,4.1,7.8,7.8,0.258
4.1,4.1,7.9,7.9,0.256
4.1,4.1,8.0,8.0,0.264
4.1,4.1,8.1,8.1,0.266
4.1,4.1,8.2,8.2,0.266
4.1,4.1,8.3,8.3,0.25
4.1,4.1,8.4,8.4,0.266
4.1,4.1,8.5,8.5,0.28
4.1,4.1,8.6,8.6,0.258
4.1,4.1,8.7,8.7,0.212
4.1,4.1,8.8,8.8,0.214
4.1,4.1,8.9,8.9,0.22
4.1,4.1,9.0,9.0,0.224
4.1,4.1,9.1,9.1,0.22
4.1,4.1,9.2,9.2,0.208
4.1,4.1,9.3,9.3,0.236
4.1,4.1,9.4,9.4,0.238
4.1,4.1,9.5,9.5,0.176
4.1,4.1,9.6,9.6,0.216
4.1,4.1,9.7,9.7,0.198
4.1,4.1,9.8,9.8,0.226
4.1,4.1,9.9,9.9,0.21
4.1,4.1,10.0,10.0,0.194
4.1,4.1,10.1,10.1,0.204
4.1,4.1,10.2,10.2,0.252
4.1,4.1,10.3,10.3,0.206
4.1,4.1,10.4,10.4,0.234
4.1,4.1,10.5,10.5,0.198
4.1,4.1,10.6,10.6,0.214
4.1,4.1,10.7,10.7,0.19
4.1,4.1,10.8,10.8,0.214
4.1,4.1,10.9,10.9,0.2
4.1,4.1,11.0,11.0,0.184
4.1,4.1,11.1,11.1,0.214
4.1,4.1,11.2,11.2,0.182
4.1,4.1,11.3,11.3,0.206
4.1,4.1,11.4,11.4,0.204
4.1,4.1,11.5,11.5,0.18
4.1,4.1,11.6,11.6,0.22
4.1,4.1,11.7,11.7,0.162
4.1,4.1,11.8,11.8,0.19
4.1,4.1,11.9,11.9,0.212
4.1,4.1,12.0,12.0,0.218
