$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
4.0,4.0,7.4,7.4,0.922
4.0,4.0,7.5,7.5,0.914
4.0,4.0,7.6,7.6,0.906
4.0,4.0,7.7,7.7,0.904
4.0,4.0,7.8,7.8,0.898
4.0,4.0,7.9,7.9,0.928
4.0,4.0,8.0,8.0,0.92
4.0,4.0,8.1,8.1,0.912
4.0,4.0,8.2,8.2,0.922
4.0,4.0,8.3,8.3,0.916
4.0,4.0,8.4,8.4,0.898
4.0,4.0,8.5,8.5,0.93
4.0,4.0,8.6,8.6,0.884
4.0,4.0,8.7,8.7,0.914
4.0,4.0,8.8,8.8,0.906
4.0,4.0,8.9,8.9,0.91
4.0,4.0,9.0,9.0,0.89
4.0,4.0,9.1,9.1,0.908
4.0,4.0,9.2,9.2,0.902
4.0,4.0,9.3,9.3,0.9
4.0,4.0,9.4,9.4,0.894
4.0,4.0,9.5,9.5,0.894
4.0,4.0,9.6,9.6,0.92
4.0,4.0,9.7,9.7,0.9
4.0,4.0,9.8,9.8,0.89
4.0,4.0,9.9,9.9,0.908
4.0,4.0,10.0,10.0,0.898
4.0,4.0,10.1,10.1,0.918
4.0,4.0,10.2,10.2,0.898
4.0,4.0,10.3,10.3,0.91
4.0,4.0,10.4,10.4,0.904
4.0,4.0,10.5,10.5,0.898
4.0,4.0,10.6,10.6,0.888
4.0,4.0,10.7,10.7,0.892
4.0,4.0,10.8,10.8,0.898
4.0,4.0,10.9,10.9,0.888
4.0,4.0,11.0,11.0,0.878
4.0,4.0,11.1,11.1,0.876
4.0,4.0,11.2,11.2,0.89
4.0,4.0,11.3,11.3,0.842
4.0,4.0,11.4,11.4,0.89
4.0,4.0,11.5,11.5,0.882
4.0,4.0,11.6,11.6,0.856
4.0,4.0,11.7,11.7,0.87
4.0,4.0,11.8,11.8,0.87
4.0,4.0,11.9,11.9,0.862
4.0,4.0,12.0,12.0,0.88
4.0,4.0,12.1,12.1,0.874
4.0,4.0,12.2,12.2,0.85
4.0,4.0,12.3,12.3,0.894
4.0,4.0,12.4,12.4,0.858
4.0,4.0,12.5,12.5,0.86
4.0,4.0,12.6,12.6,0.882
4.0,4.0,12.7,12.7,0.866
4.0,4.0,12.8,12.8,0.866
4.0,4.0,12.9,12.9,0.88
4.0,4.0,13.0,13.0,0.872
4.0,4.0,13.1,13.1,0.83
4.0,4.0,13.2,13.2,0.83
4.0,4.0,13.3,13.3,0.84
4.0,4.0,13.4,13.4,0.848
4.0,4.0,13.5,13.5,0.832
4.0,4.0,13.6,13.6,0.878
4.0,4.0,13.7,13.7,0.832
4.0,4.0,13.8,13.8,0.814
4.0,4.0,13.9,13.9,0.842
4.0,4.0,14.0,14.0,0.81
4.0,4.0,14.1,14.1,0.818
4.0,4.0,14.2,14.2,0.822
4.0,4.0,14.3,14.3,0.852
4.0,4.0,14.4,14.4,0.82
4.0,4.0,14.5,14.5,0.812
4.0,4.0,14.6,14.6,0.84
4.0,4.0,14.7,14.7,0.83
4.0,4.0,14.8,14.8,0.838
4.0,4.0,14.9,14.9,0.82
4.0,4.0,15.0,15.0,0.784
4.0,4.0,15.1,15.1,0.834
4.1,4.1,0.1,0.1,0.504
4.1,4.1,0.2,0.2,0.534
4.1,4.1,0.3,0.3,0.588
4.1,4.1,0.4,0.4,0.608
4.1,4.1,0.5,0.5,0.672
4.1,4.1,0.6,0.6,0.678
4.1,4.1,0.7,0.7,0.714
4.1,4.1,0.8,0.8,0.708
4.1,4.1,0.9,0.9,0.718
4.1,4.1,1.0,1.0,0.782
4.1,4.1,1.1,1.1,0.732
4.1,4.1,1.2,1.2,0.798
4.1,4.1,1.3,1.3,0.776
4.1,4.1,1.4,1.4,0.846
4.1,4.1,1.5,1.5,0.804
4.1,4.1,1.6,1.6,0.816
4.1,4.1,1.7,1.7,0.83
4.1,4.1,1.8,1.8,0.836
4.1,4.1,1.9,1.9,0.816
4.1,4.1,2.0,2.0,0.828
4.1,4.1,2.1,2.1,0.838
4.1,4.1,2.2,2.2,0.84
4.1,4.1,2.3,2.3,0.856
4.1,4.1,2.4,2.4,0.856
4.1,4.1,2.5,2.5,0.854
4.1,4.1,2.6,2.6,0.85
4.1,4.1,2.7,2.7,0.866
4.1,4.1,2.8,2.8,0.846
4.1,4.1,2.9,2.9,0.846
4.1,4.1,3.0,3.0,0.872
4.1,4.1,3.1,3.1,0.864
4.1,4.1,3.2,3.2,0.858
4.1,4.1,3.3,3.3,0.884
4.1,4.1,3.4,3.4,0.878
4.1,4.1,3.5,3.5,0.892
4.1,4.1,3.6,3.6,0.882
4.1,4.1,3.7,3.7,0.894
4.1,4.1,3.8,3.8,0.904
4.1,4.1,3.9,3.9,0.902
4.1,4.1,4.0,4.0,0.878
4.1,4.1,4.1,4.1,0.902
4.1,4.1,4.2,4.2,0.91
4.1,4.1,4.3,4.3,0.882
4.1,4.1,4.4,4.4,0.904
4.1,4.1,4.5,4.5,0.898
4.1,4.1,4.6,4.6,0.906
4.1,4.1,4.7,4.7,0.898
4.1,4.1,4.8,4.8,0.892
4.1,4.1,4.9,4.9,0.926
4.1,4.1,5.0,5.0,0.902
4.1,4.1,5.1,5.1,0.904
4.1,4.1,5.2,5.2,0.894
4.1,4.1,5.3,5.3,0.914
4.1,4.1,5.4,5.4,0.902
4.1,4.1,5.5,5.5,0.932
4.1,4.1,5.6,5.6,0.918
4.1,4.1,5.7,5.7,0.908
4.1,4.1,5.8,5.8,0.904
4.1,4.1,5.9,5.9,0.89
4.1,4.1,6.0,6.0,0.928
4.1,4.1,6.1,6.1,0.904
4.1,4.1,6.2,6.2,0.914
4.1,4.1,6.3,6.3,0.904
4.1,4.1,6.4,6.4,0.916
4.1,4.1,6.5,6.5,0.902
4.1,4.1,6.6,6.6,0.91
4.1,4.1,6.7,6.7,0.918
4.1,4.1,6.8,6.8,0.906
4.1,4.1,6.9,6.9,0.916
4.1,4.1,7.0,7.0,0.934
4.1,4.1,7.1,7.1,0.898
4.1,4.1,7.2,7.2,0.926
4.1,4.1,7.3,7.3,0.924
4.1,4.1,7.4,7.4,0.904
4.1,4.1,7.5,7.5,0.91
4.1,4.1,7.6,7.6,0.946
4.1,4.1,7.7,7.7,0.932
4.1,4.1,7.8,7.8,0.926
4.1,4.1,7.9,7.9,0.908
4.1,4.1,8.0,8.0,0.914
4.1,4.1,8.1,8.1,0.902
4.1,4.1,8.2,8.2,0.912
4.1,4.1,8.3,8.3,0.886
4.1,4.1,8.4,8.4,0.894
4.1,4.1,8.5,8.5,0.896
4.1,4.1,8.6,8.6,0.876
4.1,4.1,8.7,8.7,0.92
4.1,4.1,8.8,8.8,0.934
4.1,4.1,8.9,8.9,0.896
4.1,4.1,9.0,9.0,0.902
4.1,4.1,9.1,9.1,0.916
4.1,4.1,9.2,9.2,0.906
4.1,4.1,9.3,9.3,0.914
4.1,4.1,9.4,9.4,0.904
4.1,4.1,9.5,9.5,0.892
4.1,4.1,9.6,9.6,0.896
4.1,4.1,9.7,9.7,0.898
4.1,4.1,9.8,9.8,0.916
4.1,4.1,9.9,9.9,0.924
4.1,4.1,10.0,10.0,0.92
4.1,4.1,10.1,10.1,0.888
4.1,4.1,10.2,10.2,0.868
4.1,4.1,10.3,10.3,0.902
4.1,4.1,10.4,10.4,0.92
4.1,4.1,10.5,10.5,0.912
4.1,4.1,10.6,10.6,0.888
4.1,4.1,10.7,10.7,0.916
4.1,4.1,10.8,10.8,0.896
4.1,4.1,10.9,10.9,0.884
4.1,4.1,11.0,11.0,0.886
4.1,4.1,11.1,11.1,0.908
4.1,4.1,11.2,11.2,0.872
4.1,4.1,11.3,11.3,0.856
4.1,4.1,11.4,11.4,0.88
4.1,4.1,11.5,11.5,0.894
4.1,4.1,11.6,11.6,0.886
4.1,4.1,11.7,11.7,0.88
4.1,4.1,11.8,11.8,0.894
4.1,4.1,11.9,11.9,0.87
4.1,4.1,12.0,12.0,0.886
4.1,4.1,12.1,12.1,0.876
4.1,4.1,12.2,12.2,0.856
4.1,4.1,12.3,12.3,0.87
4.1,4.1,12.4,12.4,0.864
4.1,4.1,12.5,12.5,0.864
4.1,4.1,12.6,12.6,0.868
4.1,4.1,12.7,12.7,0.858
4.1,4.1,12.8,12.8,0.84
4.1,4.1,12.9,12.9,0.866
4.1,4.1,13.0,13.0,0.864
4.1,4.1,13.1,13.1,0.852
4.1,4.1,13.2,13.2,0.858
4.1,4.1,13.3,13.3,0.848
4.1,4.1,13.4,13.4,0.866
4.1,4.1,13.5,13.5,0.858
4.1,4.1,13.6,13.6,0.854
4.1,4.1,13.7,13.7,0.862
4.1,4.1,13.8,13.8,0.818
4.1,4.1,13.9,13.9,0.838
4.1,4.1,14.0,14.0,0.852
4.1,4.1,14.1,14.1,0.854
4.1,4.1,14.2,14.2,0.858
4.1,4.1,14.3,14.3,0.858
4.1,4.1,14.4,14.4,0.856
4.1,4.1,14.5,14.5,0.878
4.1,4.1,14.6,14.6,0.804
4.1,4.1,14.7,14.7,0.82
4.1,4.1,14.8,14.8,0.83
4.1,4.1,14.9,14.9,0.816
4.1,4.1,15.0,15.0,0.84
4.1,4.1,15.1,15.1,0.826
4.2,4.2,0.1,0.1,0.538
4.2,4.2,0.2,0.2,0.562
4.2,4.2,0.3,0.3,0.568
4.2,4.2,0.4,0.4,0.616
4.2,4.2,0.5,0.5,0.654
4.2,4.2,0.6,0.6,0.69
4.2,4.2,0.7,0.7,0.688
4.2,4.2,0.8,0.8,0.738
4.2,4.2,0.9,0.9,0.742
4.2,4.2,1.0,1.0,0.764
4.2,4.2,1.1,1.1,0.766
4.2,4.2,1.2,1.2,0.798
4.2,4.2,1.3,1.3,0.746
4.2,4.2,1.4,1.4,0.788
4.2,4.2,1.5,1.5,0.856
4.2,4.2,1.6,1.6,0.804
4.2,4.2,1.7,1.7,0.828
4.2,4.2,1.8,1.8,0.85
4.2,4.2,1.9,1.9,0.852
4.2,4.2,2.0,2.0,0.846
4.2,4.2,2.1,2.1,0.864
4.2,4.2,2.2,2.2,0.834
4.2,4.2,2.3,2.3,0.876
4.2,4.2,2.4,2.4,0.862
4.2,4.2,2.5,2.5,0.874
4.2,4.2,2.6,2.6,0.86
4.2,4.2,2.7,2.7,0.854
4.2,4.2,2.8,2.8,0.896
4.2,4.2,2.9,2.9,0.876
4.2,4.2,3.0,3.0,0.876
4.2,4.2,3.1,3.1,0.884
4.2,4.2,3.2,3.2,0.878
4.2,4.2,3.3,3.3,0.886
4.2,4.2,3.4,3.4,0.908
4.2,4.2,3.5,3.5,0.868
4.2,4.2,3.6,3.6,0.884
4.2,4.2,3.7,3.7,0.882
4.2,4.2,3.8,3.8,0.884
4.2,4.2,3.9,3.9,0.872
4.2,4.2,4.0,4.0,0.908
4.2,4.2,4.1,4.1,0.884
4.2,4.2,4.2,4.2,0.862
4.2,4.2,4.3,4.3,0.898
4.2,4.2,4.4,4.4,0.89
4.2,4.2,4.5,4.5,0.892
4.2,4.2,4.6,4.6,0.884
4.2,4.2,4.7,4.7,0.894
4.2,4.2,4.8,4.8,0.9
4.2,4.2,4.9,4.9,0.902
4.2,4.2,5.0,5.0,0.904
4.2,4.2,5.1,5.1,0.876
4.2,4.2,5.2,5.2,0.916
4.2,4.2,5.3,5.3,0.898
4.2,4.2,5.4,5.4,0.892
4.2,4.2,5.5,5.5,0.892
4.2,4.2,5.6,5.6,0.91
4.2,4.2,5.7,5.7,0.91
4.2,4.2,5.8,5.8,0.916
4.2,4.2,5.9,5.9,0.924
4.2,4.2,6.0,6.0,0.896
4.2,4.2,6.1,6.1,0.916
4.2,4.2,6.2,6.2,0.904
4.2,4.2,6.3,6.3,0.926
4.2,4.2,6.4,6.4,0.924
4.2,4.2,6.5,6.5,0.908
4.2,4.2,6.6,6.6,0.9
4.2,4.2,6.7,6.7,0.924
4.2,4.2,6.8,6.8,0.91
4.2,4.2,6.9,6.9,0.922
4.2,4.2,7.0,7.0,0.908
4.2,4.2,7.1,7.1,0.916
4.2,4.2,7.2,7.2,0.928
4.2,4.2,7.3,7.3,0.918
4.2,4.2,7.4,7.4,0.912
4.2,4.2,7.5,7.5,0.922
4.2,4.2,7.6,7.6,0.894
4.2,4.2,7.7,7.7,0.9
4.2,4.2,7.8,7.8,0.918
4.2,4.2,7.9,7.9,0.896
4.2,4.2,8.0,8.0,0.93
4.2,4.2,8.1,8.1,0.9
4.2,4.2,8.2,8.2,0.936
4.2,4.2,8.3,8.3,0.918
4.2,4.2,8.4,8.4,0.918
4.2,4.2,8.5,8.5,0.9
4.2,4.2,8.6,8.6,0.914
4.2,4.2,8.7,8.7,0.914
4.2,4.2,8.8,8.8,0.906
4.2,4.2,8.9,8.9,0.91
4.2,4.2,9.0,9.0,0.928
4.2,4.2,9.1,9.1,0.906
4.2,4.2,9.2,9.2,0.916
4.2,4.2,9.3,9.3,0.908
4.2,4.2,9.4,9.4,0.92
4.2,4.2,9.5,9.5,0.924
4.2,4.2,9.6,9.6,0.886
4.2,4.2,9.7,9.7,0.894
4.2,4.2,9.8,9.8,0.894
4.2,4.2,9.9,9.9,0.916
4.2,4.2,10.0,10.0,0.902
4.2,4.2,10.1,10.1,0.888
4.2,4.2,10.2,10.2,0.908
4.2,4.2,10.3,10.3,0.916
4.2,4.2,10.4,10.4,0.906
4.2,4.2,10.5,10.5,0.88
4.2,4.2,10.6,10.6,0.908
4.2,4.2,10.7,10.7,0.908
4.2,4.2,10.8,10.8,0.888
4.2,4.2,10.9,10.9,0.888
4.2,4.2,11.0,11.0,0.88
4.2,4.2,11.1,11.1,0.892
4.2,4.2,11.2,11.2,0.904
4.2,4.2,11.3,11.3,0.906
4.2,4.2,11.4,11.4,0.904
4.2,4.2,11.5,11.5,0.91
4.2,4.2,11.6,11.6,0.868
4.2,4.2,11.7,11.7,0.858
4.2,4.2,11.8,11.8,0.866
4.2,4.2,11.9,11.9,0.888
4.2,4.2,12.0,12.0,0.85
4.2,4.2,12.1,12.1,0.864
4.2,4.2,12.2,12.2,0.862
4.2,4.2,12.3,12.3,0.878
4.2,4.2,12.4,12.4,0.842
4.2,4.2,12.5,12.5,0.878
4.2,4.2,12.6,12.6,0.856
4.2,4.2,12.7,12.7,0.866
4.2,4.2,12.8,12.8,0.866
4.2,4.2,12.9,12.9,0.862
4.2,4.2,13.0,13.0,0.878
4.2,4.2,13.1,13.1,0.846
4.2,4.2,13.2,13.2,0.848
4.2,4.2,13.3,13.3,0.842
4.2,4.2,13.4,13.4,0.858
4.2,4.2,13.5,13.5,0.856
4.2,4.2,13.6,13.6,0.832
4.2,4.2,13.7,13.7,0.852
4.2,4.2,13.8,13.8,0.864
4.2,4.2,13.9,13.9,0.842
4.2,4.2,14.0,14.0,0.858
4.2,4.2,14.1,14.1,0.848
4.2,4.2,14.2,14.2,0.842
4.2,4.2,14.3,14.3,0.876
4.2,4.2,14.4,14.4,0.842
4.2,4.2,14.5,14.5,0.828
4.2,4.2,14.6,14.6,0.83
4.2,4.2,14.7,14.7,0.85
4.2,4.2,14.8,14.8,0.818
4.2,4.2,14.9,14.9,0.864
4.2,4.2,15.0,15.0,0.822
4.2,4.2,15.1,15.1,0.85
4.3,4.3,0.1,0.1,0.49
4.3,4.3,0.2,0.2,0.532
4.3,4.3,0.3,0.3,0.528
4.3,4.3,0.4,0.4,0.57
4.3,4.3,0.5,0.5,0.644
4.3,4.3,0.6,0.6,0.686
4.3,4.3,0.7,0.7,0.698
4.3,4.3,0.8,0.8,0.748
4.3,4.3,0.9,0.9,0.742
4.3,4.3,1.0,1.0,0.792
4.3,4.3,1.1,1.1,0.782
4.3,4.3,1.2,1.2,0.758
4.3,4.3,1.3,1.3,0.82
4.3,4.3,1.4,1.4,0.8
4.3,4.3,1.5,1.5,0.798
4.3,4.3,1.6,1.6,0.812
4.3,4.3,1.7,1.7,0.83
4.3,4.3,1.8,1.8,0.846
4.3,4.3,1.9,1.9,0.844
4.3,4.3,2.0,2.0,0.834
4.3,4.3,2.1,2.1,0.828
4.3,4.3,2.2,2.2,0.864
4.3,4.3,2.3,2.3,0.84
4.3,4.3,2.4,2.4,0.856
4.3,4.3,2.5,2.5,0.844
4.3,4.3,2.6,2.6,0.856
4.3,4.3,2.7,2.7,0.842
4.3,4.3,2.8,2.8,0.874
4.3,4.3,2.9,2.9,0.828
4.3,4.3,3.0,3.0,0.866
4.3,4.3,3.1,3.1,0.9
4.3,4.3,3.2,3.2,0.868
4.3,4.3,3.3,3.3,0.896
4.3,4.3,3.4,3.4,0.87
4.3,4.3,3.5,3.5,0.88
4.3,4.3,3.6,3.6,0.856
4.3,4.3,3.7,3.7,0.888
4.3,4.3,3.8,3.8,0.9
4.3,4.3,3.9,3.9,0.868
4.3,4.3,4.0,4.0,0.886
4.3,4.3,4.1,4.1,0.92
4.3,4.3,4.2,4.2,0.912
4.3,4.3,4.3,4.3,0.874
4.3,4.3,4.4,4.4,0.864
4.3,4.3,4.5,4.5,0.89
4.3,4.3,4.6,4.6,0.868
4.3,4.3,4.7,4.7,0.902
4.3,4.3,4.8,4.8,0.9
4.3,4.3,4.9,4.9,0.88
4.3,4.3,5.0,5.0,0.922
4.3,4.3,5.1,5.1,0.914
4.3,4.3,5.2,5.2,0.918
4.3,4.3,5.3,5.3,0.892
4.3,4.3,5.4,5.4,0.864
4.3,4.3,5.5,5.5,0.896
4.3,4.3,5.6,5.6,0.91
4.3,4.3,5.7,5.7,0.88
4.3,4.3,5.8,5.8,0.932
4.3,4.3,5.9,5.9,0.91
4.3,4.3,6.0,6.0,0.9
4.3,4.3,6.1,6.1,0.92
4.3,4.3,6.2,6.2,0.906
4.3,4.3,6.3,6.3,0.884
4.3,4.3,6.4,6.4,0.906
4.3,4.3,6.5,6.5,0.91
4.3,4.3,6.6,6.6,0.922
4.3,4.3,6.7,6.7,0.89
4.3,4.3,6.8,6.8,0.906
4.3,4.3,6.9,6.9,0.928
4.3,4.3,7.0,7.0,0.898
4.3,4.3,7.1,7.1,0.89
4.3,4.3,7.2,7.2,0.926
4.3,4.3,7.3,7.3,0.92
4.3,4.3,7.4,7.4,0.93
4.3,4.3,7.5,7.5,0.914
4.3,4.3,7.6,7.6,0.898
4.3,4.3,7.7,7.7,0.938
4.3,4.3,7.8,7.8,0.91
4.3,4.3,7.9,7.9,0.904
4.3,4.3,8.0,8.0,0.892
4.3,4.3,8.1,8.1,0.92
4.3,4.3,8.2,8.2,0.922
4.3,4.3,8.3,8.3,0.908
4.3,4.3,8.4,8.4,0.906
4.3,4.3,8.5,8.5,0.91
4.3,4.3,8.6,8.6,0.916
4.3,4.3,8.7,8.7,0.928
4.3,4.3,8.8,8.8,0.908
4.3,4.3,8.9,8.9,0.9
4.3,4.3,9.0,9.0,0.922
4.3,4.3,9.1,9.1,0.922
4.3,4.3,9.2,9.2,0.89
4.3,4.3,9.3,9.3,0.93
4.3,4.3,9.4,9.4,0.888
4.3,4.3,9.5,9.5,0.91
4.3,4.3,9.6,9.6,0.92
4.3,4.3,9.7,9.7,0.906
4.3,4.3,9.8,9.8,0.9
4.3,4.3,9.9,9.9,0.92
4.3,4.3,10.0,10.0,0.94
4.3,4.3,10.1,10.1,0.896
4.3,4.3,10.2,10.2,0.902
4.3,4.3,10.3,10.3,0.898
4.3,4.3,10.4,10.4,0.906
4.3,4.3,10.5,10.5,0.908
4.3,4.3,10.6,10.6,0.886
4.3,4.3,10.7,10.7,0.928
4.3,4.3,10.8,10.8,0.882
4.3,4.3,10.9,10.9,0.91
4.3,4.3,11.0,11.0,0.914
4.3,4.3,11.1,11.1,0.874
4.3,4.3,11.2,11.2,0.9
4.3,4.3,11.3,11.3,0.876
4.3,4.3,11.4,11.4,0.85
4.3,4.3,11.5,11.5,0.894
4.3,4.3,11.6,11.6,0.886
4.3,4.3,11.7,11.7,0.88
4.3,4.3,11.8,11.8,0.888
4.3,4.3,11.9,11.9,0.902
4.3,4.3,12.0,12.0,0.88
4.3,4.3,12.1,12.1,0.844
4.3,4.3,12.2,12.2,0.89
4.3,4.3,12.3,12.3,0.862
4.3,4.3,12.4,12.4,0.856
4.3,4.3,12.5,12.5,0.89
4.3,4.3,12.6,12.6,0.864
4.3,4.3,12.7,12.7,0.858
4.3,4.3,12.8,12.8,0.864
4.3,4.3,12.9,12.9,0.868
4.3,4.3,13.0,13.0,0.884
4.3,4.3,13.1,13.1,0.882
4.3,4.3,13.2,13.2,0.874
4.3,4.3,13.3,13.3,0.86
4.3,4.3,13.4,13.4,0.83
4.3,4.3,13.5,13.5,0.826
4.3,4.3,13.6,13.6,0.868
4.3,4.3,13.7,13.7,0.85
4.3,4.3,13.8,13.8,0.854
4.3,4.3,13.9,13.9,0.838
4.3,4.3,14.0,14.0,0.844
4.3,4.3,14.1,14.1,0.878
4.3,4.3,14.2,14.2,0.864
4.3,4.3,14.3,14.3,0.862
4.3,4.3,14.4,14.4,0.856
4.3,4.3,14.5,14.5,0.852
4.3,4.3,14.6,14.6,0.844
4.3,4.3,14.7,14.7,0.878
4.3,4.3,14.8,14.8,0.834
4.3,4.3,14.9,14.9,0.822
4.3,4.3,15.0,15.0,0.83
4.3,4.3,15.1,15.1,0.824
4.4,4.4,0.1,0.1,0.512
4.4,4.4,0.2,0.2,0.548
4.4,4.4,0.3,0.3,0.598
4.4,4.4,0.4,0.4,0.612
4.4,4.4,0.5,0.5,0.614
4.4,4.4,0.6,0.6,0.64
4.4,4.4,0.7,0.7,0.71
4.4,4.4,0.8,0.8,0.7
4.4,4.4,0.9,0.9,0.696
4.4,4.4,1.0,1.0,0.766
4.4,4.4,1.1,1.1,0.764
4.4,4.4,1.2,1.2,0.766
4.4,4.4,1.3,1.3,0.778
4.4,4.4,1.4,1.4,0.82
4.4,4.4,1.5,1.5,0.806
4.4,4.4,1.6,1.6,0.804
4.4,4.4,1.7,1.7,0.806
4.4,4.4,1.8,1.8,0.806
4.4,4.4,1.9,1.9,0.826
4.4,4.4,2.0,2.0,0.84
4.4,4.4,2.1,2.1,0.826
4.4,4.4,2.2,2.2,0.826
4.4,4.4,2.3,2.3,0.854
4.4,4.4,2.4,2.4,0.844
4.4,4.4,2.5,2.5,0.836
4.4,4.4,2.6,2.6,0.844
4.4,4.4,2.7,2.7,0.872
4.4,4.4,2.8,2.8,0.87
4.4,4.4,2.9,2.9,0.874
4.4,4.4,3.0,3.0,0.87
4.4,4.4,3.1,3.1,0.856
4.4,4.4,3.2,3.2,0.874
4.4,4.4,3.3,3.3,0.882
4.4,4.4,3.4,3.4,0.882
4.4,4.4,3.5,3.5,0.896
4.4,4.4,3.6,3.6,0.884
4.4,4.4,3.7,3.7,0.888
4.4,4.4,3.8,3.8,0.89
4.4,4.4,3.9,3.9,0.912
4.4,4.4,4.0,4.0,0.916
4.4,4.4,4.1,4.1,0.878
4.4,4.4,4.2,4.2,0.906
4.4,4.4,4.3,4.3,0.902
4.4,4.4,4.4,4.4,0.894
4.4,4.4,4.5,4.5,0.892
4.4,4.4,4.6,4.6,0.92
4.4,4.4,4.7,4.7,0.904
4.4,4.4,4.8,4.8,0.88
4.4,4.4,4.9,4.9,0.884
4.4,4.4,5.0,5.0,0.916
4.4,4.4,5.1,5.1,0.904
4.4,4.4,5.2,5.2,0.894
4.4,4.4,5.3,5.3,0.934
4.4,4.4,5.4,5.4,0.906
4.4,4.4,5.5,5.5,0.924
4.4,4.4,5.6,5.6,0.934
4.4,4.4,5.7,5.7,0.882
4.4,4.4,5.8,5.8,0.91
4.4,4.4,5.9,5.9,0.928
4.4,4.4,6.0,6.0,0.926
4.4,4.4,6.1,6.1,0.926
4.4,4.4,6.2,6.2,0.934
4.4,4.4,6.3,6.3,0.9
4.4,4.4,6.4,6.4,0.92
4.4,4.4,6.5,6.5,0.92
4.4,4.4,6.6,6.6,0.914
4.4,4.4,6.7,6.7,0.924
4.4,4.4,6.8,6.8,0.9
4.4,4.4,6.9,6.9,0.906
4.4,4.4,7.0,7.0,0.916
4.4,4.4,7.1,7.1,0.92
4.4,4.4,7.2,7.2,0.924
4.4,4.4,7.3,7.3,0.914
4.4,4.4,7.4,7.4,0.91
4.4,4.4,7.5,7.5,0.922
4.4,4.4,7.6,7.6,0.928
4.4,4.4,7.7,7.7,0.922
4.4,4.4,7.8,7.8,0.904
4.4,4.4,7.9,7.9,0.912
4.4,4.4,8.0,8.0,0.918
4.4,4.4,8.1,8.1,0.916
4.4,4.4,8.2,8.2,0.894
4.4,4.4,8.3,8.3,0.908
4.4,4.4,8.4,8.4,0.918
4.4,4.4,8.5,8.5,0.916
4.4,4.4,8.6,8.6,0.9
4.4,4.4,8.7,8.7,0.918
4.4,4.4,8.8,8.8,0.904
4.4,4.4,8.9,8.9,0.908
4.4,4.4,9.0,9.0,0.94
4.4,4.4,9.1,9.1,0.906
4.4,4.4,9.2,9.2,0.894
4.4,4.4,9.3,9.3,0.91
4.4,4.4,9.4,9.4,0.89
4.4,4.4,9.5,9.5,0.93
4.4,4.4,9.6,9.6,0.904
4.4,4.4,9.7,9.7,0.898
4.4,4.4,9.8,9.8,0.932
4.4,4.4,9.9,9.9,0.902
4.4,4.4,10.0,10.0,0.912
4.4,4.4,10.1,10.1,0.884
4.4,4.4,10.2,10.2,0.914
4.4,4.4,10.3,10.3,0.892
4.4,4.4,10.4,10.4,0.902
4.4,4.4,10.5,10.5,0.894
4.4,4.4,10.6,10.6,0.892
4.4,4.4,10.7,10.7,0.918
4.4,4.4,10.8,10.8,0.906
4.4,4.4,10.9,10.9,0.922
4.4,4.4,11.0,11.0,0.866
4.4,4.4,11.1,11.1,0.876
4.4,4.4,11.2,11.2,0.886
4.4,4.4,11.3,11.3,0.9
4.4,4.4,11.4,11.4,0.872
4.4,4.4,11.5,11.5,0.894
4.4,4.4,11.6,11.6,0.898
4.4,4.4,11.7,11.7,0.894
4.4,4.4,11.8,11.8,0.888
4.4,4.4,11.9,11.9,0.874
4.4,4.4,12.0,12.0,0.882
4.4,4.4,12.1,12.1,0.868
4.4,4.4,12.2,12.2,0.906
4.4,4.4,12.3,12.3,0.88
4.4,4.4,12.4,12.4,0.902
4.4,4.4,12.5,12.5,0.888
4.4,4.4,12.6,12.6,0.878
4.4,4.4,12.7,12.7,0.872
4.4,4.4,12.8,12.8,0.884
4.4,4.4,12.9,12.9,0.848
4.4,4.4,13.0,13.0,0.904
4.4,4.4,13.1,13.1,0.858
4.4,4.4,13.2,13.2,0.854
4.4,4.4,13.3,13.3,0.844
4.4,4.4,13.4,13.4,0.88
4.4,4.4,13.5,13.5,0.884
4.4,4.4,13.6,13.6,0.88
4.4,4.4,13.7,13.7,0.874
4.4,4.4,13.8,13.8,0.832
4.4,4.4,13.9,13.9,0.858
4.4,4.4,14.0,14.0,0.85
4.4,4.4,14.1,14.1,0.858
4.4,4.4,14.2,14.2,0.862
4.4,4.4,14.3,14.3,0.852
4.4,4.4,14.4,14.4,0.83
4.4,4.4,14.5,14.5,0.85
4.4,4.4,14.6,14.6,0.866
4.4,4.4,14.7,14.7,0.838
4.4,4.4,14.8,14.8,0.852
4.4,4.4,14.9,14.9,0.85
4.4,4.4,15.0,15.0,0.852
4.4,4.4,15.1,15.1,0.872
4.5,4.5,0.1,0.1,0.476
4.5,4.5,0.2,0.2,0.576
4.5,4.5,0.3,0.3,0.56
4.5,4.5,0.4,0.4,0.6
4.5,4.5,0.5,0.5,0.658
4.5,4.5,0.6,0.6,0.692
4.5,4.5,0.7,0.7,0.702
4.5,4.5,0.8,0.8,0.686
4.5,4.5,0.9,0.9,0.744
4.5,4.5,1.0,1.0,0.728
4.5,4.5,1.1,1.1,0.76
4.5,4.5,1.2,1.2,0.748
4.5,4.5,1.3,1.3,0.768
4.5,4.5,1.4,1.4,0.766
4.5,4.5,1.5,1.5,0.804
